Source,Target,Weight
100086756088955,100006069215765,4
100086756088955,100026907492072,2
100086756088955,100085040808935,18
100086756088955,100080327048230,18
100086756088955,100007096600721,2
100086756088955,61560427569839,1
100086756088955,100038394284854,1
100086756088955,100006833971820,11
100086756088955,100041792267293,2
100086756088955,100001884645265,13
100086756088955,100035713475971,9
100086756088955,100082469666072,18
100086756088955,100009649545320,4
100086756088955,100007811195773,5
100086756088955,100086136287688,18
100086756088955,100037971341540,3
100086756088955,100081944692856,18
100086756088955,100078589998620,18
100086756088955,100005968629295,1
100086756088955,100012920975012,2
100086756088955,100094123076091,18
100086756088955,100010574713732,4
100086756088955,100007981214611,1
100086756088955,100023224607339,2
100086756088955,100011715770449,3
100086756088955,100079779367930,18
100086756088955,100079989170790,18
100086756088955,100019552652541,2
100086756088955,100014976528411,2
100086756088955,100079440770802,18
100086756088955,100004297694987,2
100086756088955,100011330460038,2
100086756088955,100008220900883,4
100086756088955,100092296245202,18
100086756088955,100001657913682,1
100086756088955,100028221665425,2
100086756088955,100083295727262,18
100086756088955,100009466671559,1
100086756088955,100041188877434,4
100086756088955,100065340960858,2
100086756088955,100003772572780,3
100086756088955,100088168869967,18
100086756088955,100008028272799,2
100086756088955,100004453693695,2
100086756088955,100002537883844,6
100086756088955,100091257196613,18
100086756088955,100014225087232,2
100086756088955,100009325673884,2
100086756088955,100041498236937,2
100086756088955,100089441656893,18
100086756088955,100008612223457,3
100086756088955,100060479528651,2
100086756088955,100009791952257,4
100086756088955,100002115140000,2
100086756088955,100011849643689,1
100086756088955,100050422320707,3
100086756088955,100027296823095,1
100086756088955,100083520887636,18
100086756088955,100013653588406,2
100086756088955,100002123869936,2
100086756088955,100082257806963,18
100086756088955,100004787044962,2
100006069215765,100086756088955,4
100006069215765,100026907492072,2
100006069215765,100085040808935,4
100006069215765,100080327048230,4
100006069215765,100006833971820,2
100006069215765,100001884645265,2
100006069215765,100035713475971,4
100006069215765,100082469666072,4
100006069215765,100009649545320,2
100006069215765,100086136287688,4
100006069215765,100081944692856,4
100006069215765,100078589998620,4
100006069215765,100094123076091,4
100006069215765,100023224607339,2
100006069215765,100079779367930,4
100006069215765,100079989170790,4
100006069215765,100079440770802,4
100006069215765,100004297694987,2
100006069215765,100008220900883,2
100006069215765,100092296245202,4
100006069215765,100083295727262,4
100006069215765,100041188877434,2
100006069215765,100065340960858,2
100006069215765,100088168869967,4
100006069215765,100091257196613,4
100006069215765,100009325673884,2
100006069215765,100041498236937,2
100006069215765,100089441656893,4
100006069215765,100008612223457,2
100006069215765,100002115140000,2
100006069215765,100083520887636,4
100006069215765,100013653588406,2
100006069215765,100002123869936,2
100006069215765,100082257806963,4
100026907492072,100086756088955,2
100026907492072,100006069215765,2
100026907492072,100085040808935,2
100026907492072,100080327048230,2
100026907492072,100006833971820,2
100026907492072,100001884645265,2
100026907492072,100035713475971,2
100026907492072,100082469666072,2
100026907492072,100009649545320,2
100026907492072,100086136287688,2
100026907492072,100081944692856,2
100026907492072,100078589998620,2
100026907492072,100094123076091,2
100026907492072,100023224607339,2
100026907492072,100079779367930,2
